run,agent,trial,timestep,S1,S2,M1,M2,H1,H2,H3,H4,block_movement,task_type,block_size,Phi,first_sight,perfect_run,surprisal
0,0,7,26,1,0,0,0,0,0,0,0,-1,catch,3,0,0,49,3.58351893845611
0,0,7,27,1,0,0,0,0,0,0,0,-1,catch,3,0,0,49,3.58351893845611
0,0,7,28,0,0,0,0,0,0,0,0,-1,catch,3,0,0,49,2.1972245773362196
0,0,7,29,0,0,0,0,0,0,0,0,-1,catch,3,0,0,49,2.4849066497880004
0,0,7,30,0,0,0,0,0,0,0,0,-1,catch,3,0,0,49,3.58351893845611
0,0,7,31,0,0,0,0,0,0,0,0,-1,catch,3,0,0,49,3.58351893845611
0,0,7,32,0,0,0,0,0,0,0,0,-1,catch,3,0,0,49,3.58351893845611
0,0,7,33,0,0,0,0,0,0,0,0,-1,catch,3,0,0,49,3.58351893845611
0,7,0,1,1,0,0,0,1,0,1,0,-1,catch,3,0.78125,1,34,2.1972245773362196
0,7,0,2,1,0,0,1,1,1,0,1,-1,catch,3,0.538125,0,34,1.791759469228055
0,7,0,3,1,0,0,1,0,1,1,0,-1,catch,3,1,0,34,1.5040773967762742
0,7,0,4,1,0,0,0,1,1,1,1,-1,catch,3,0.538125,0,34,1.791759469228055
0,7,0,5,1,0,0,1,0,1,1,1,-1,catch,3,0.538125,0,34,1.3862943611198906
0,7,0,6,0,0,0,0,0,0,1,1,-1,catch,3,0.78125,0,34,0.587786664902119
0,7,0,7,0,0,0,0,0,0,0,1,-1,catch,3,0.78125,0,34,0.6931471805599453
0,7,0,8,0,0,0,0,0,0,0,0,-1,catch,3,1,0,34,0.8754687373538999
0,7,0,9,0,0,0,0,1,0,0,0,-1,catch,3,0.78125,0,34,0.9444616088408514
0,7,0,10,0,0,0,1,1,1,0,0,-1,catch,3,0.538125,0,34,1.791759469228055
0,7,0,11,0,0,0,1,1,1,1,0,-1,catch,3,0.538125,0,34,2.1972245773362196
0,7,0,12,0,0,0,1,1,1,1,1,-1,catch,3,0.538125,0,34,2.4849066497880004
0,7,0,13,0,0,0,1,0,1,1,1,-1,catch,3,0.538125,0,34,2.890371757896165
0,7,0,14,0,0,0,0,0,0,1,1,-1,catch,3,0.78125,0,34,3.58351893845611
0,7,0,15,0,0,0,0,0,0,0,1,-1,catch,3,0.78125,0,34,2.1972245773362196
0,7,0,16,0,0,0,0,0,0,0,0,-1,catch,3,1,0,34,2.1972245773362196
0,7,0,17,0,0,0,0,1,0,0,0,-1,catch,3,0.78125,0,34,2.1972245773362196
0,7,0,18,0,0,0,1,1,1,0,0,-1,catch,3,0.538125,0,34,2.1972245773362196
0,7,0,19,0,0,0,1,1,1,1,0,-1,catch,3,0.538125,0,34,2.1972245773362196
0,7,0,20,0,0,0,1,1,1,1,1,-1,catch,3,0.538125,0,34,1.791759469228055
0,7,0,21,0,0,0,1,0,1,1,1,-1,catch,3,0.538125,0,34,2.4849066497880004
0,7,0,22,0,0,0,0,0,0,1,1,-1,catch,3,0.78125,0,34,1.791759469228055
0,7,0,23,0,0,0,0,0,0,0,1,-1,catch,3,0.78125,0,34,1.791759469228055
0,7,0,24,0,0,0,0,0,0,0,0,-1,catch,3,1,0,34,1.9740810260220096
0,7,0,25,0,1,0,0,1,0,0,0,-1,catch,3,0,0,34,2.4849066497880004
0,7,0,26,1,1,1,0,1,0,1,0,-1,catch,3,0,0,34,2.4849066497880004
0,7,0,27,1,0,1,0,1,1,1,1,-1,catch,3,0.538125,0,34,0.4054651081081645
0,7,0,28,1,0,0,1,0,1,1,1,-1,catch,3,0.538125,0,34,0.4054651081081645
0,7,0,29,0,0,0,0,0,0,1,1,-1,catch,3,0.78125,0,34,2.1972245773362196
0,7,0,30,0,0,0,0,0,0,0,1,-1,catch,3,0.78125,0,34,2.1972245773362196
0,7,0,31,0,0,0,0,0,0,0,0,-1,catch,3,1,0,34,2.1972245773362196
